date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2017-09-01,-1.4,2.2,-6.2,2.9,8.6,-0.2,3.7,2.8,-1.0,-2.8,0.8,0.3,-2.7,5.9,-1.4,4.5,-0.6,1.7,1.6,-4.5,8.6,-0.3,-0.1,-0.4,1.7,0.6,0.4,-13.5,-0.7,-2.4,3.4,-6.9,-4.3,8.5,-0.2,1.0,-2.6,-1.9,4.9,-1.3,-2.1,0.2,1.8,2.4,-4.1,5.4,0.2,0.3,4.4,1.6,7.9,-3.0,1.8,3.1,0.7,-1.2,3.7,2.2,-3.2,0.5,0.1,-3.6,3.1,1.4,3.5,1.4,1.8,2.7,4.6,-2.8,0.6,3.5,2.5,4.3,1.4,-3.3,2.4,0.7,14.9,1.6,4.0,-5.9,2.1,1.9,-1.8,1.3
2017-12-01,4.1,2.2,-8.0,3.8,10.8,-0.5,3.9,2.7,0.5,-2.7,-0.5,0.4,-0.7,5.7,-1.4,3.6,-2.2,1.8,2.1,-3.7,11.1,-0.6,-1.1,0.7,2.0,-0.8,-0.4,-3.8,-0.8,-2.2,0.9,-8.1,-5.5,8.5,-2.1,1.2,-5.1,-0.8,4.9,-0.5,-1.6,3.2,0.4,1.3,-4.1,5.2,1.0,-1.4,4.2,1.0,12.8,-1.9,-2.8,3.1,1.5,-0.9,3.9,2.3,-2.9,1.2,1.0,-6.3,3.4,2.1,3.6,1.4,1.8,2.1,4.6,-7.6,-2.0,1.4,3.0,4.3,1.6,-3.8,2.4,0.4,15.8,2.0,4.0,-5.5,1.9,1.9,0.4,1.6
2018-03-01,0.4,2.2,-9.3,-2.0,5.8,1.4,4.5,3.2,0.9,-2.4,-2.3,2.0,0.5,6.1,-2.6,2.2,-3.9,2.0,2.5,-4.7,16.7,0.9,-0.9,1.1,3.4,0.0,-3.0,2.9,-2.3,-4.1,-1.9,-7.6,-6.2,13.7,1.3,1.4,-3.8,-0.7,6.0,0.4,-2.0,2.9,0.8,1.8,-3.5,5.3,0.2,0.2,3.8,0.3,10.7,-2.3,0.5,5.8,1.1,-0.6,5.4,4.1,-1.6,-0.6,1.7,-5.0,2.3,1.7,4.5,1.4,2.2,2.5,3.4,-3.5,-1.6,2.4,2.3,4.5,2.4,-3.7,1.0,0.4,14.6,-0.8,4.2,-2.1,2.5,1.9,3.4,-2.0
2018-06-01,-1.6,2.5,-9.5,0.5,15.4,0.0,2.9,0.6,0.9,-3.0,-1.7,0.4,2.5,6.3,-5.0,0.8,-3.9,1.0,4.2,-3.8,12.1,-0.1,2.4,1.2,1.8,-6.5,-1.2,3.5,-1.9,-2.9,1.7,-6.0,-2.3,9.9,0.8,2.4,-6.6,-0.9,5.4,1.8,-4.8,2.0,1.1,2.5,-2.8,4.3,1.0,-2.7,5.1,1.0,7.6,0.1,-1.7,5.0,1.6,-0.6,3.2,4.1,-4.1,-1.5,2.1,-0.2,7.7,2.1,4.6,1.4,1.9,3.0,3.4,-3.0,-1.7,3.4,3.0,3.6,3.3,-4.7,1.0,0.1,16.3,-1.8,4.0,-8.9,3.3,1.9,0.1,1.7
2018-09-01,0.5,2.2,-10.2,0.6,20.8,0.3,2.8,-1.2,2.6,-2.2,-0.6,0.2,1.5,-15.9,-3.7,1.3,-1.3,1.8,7.2,-1.2,11.0,1.4,3.1,-0.6,0.0,-7.8,-2.9,8.3,-2.1,-3.4,1.5,-1.4,-1.1,7.8,-2.1,3.5,-9.5,0.4,5.6,0.8,-0.2,3.3,1.8,2.7,-0.9,4.2,0.2,-1.4,2.8,0.5,5.5,-0.4,-1.7,4.2,0.9,-0.3,2.5,3.5,-3.0,-1.1,1.3,-0.9,10.6,1.3,1.6,3.6,1.8,2.1,3.4,-4.3,-1.4,-2.4,2.0,2.6,3.7,-4.7,1.0,-0.2,13.9,-2.9,4.0,4.5,2.1,-0.8,-1.1,1.4
2018-12-01,0.8,2.0,-9.6,-0.9,6.7,2.2,2.8,-0.5,2.1,-0.1,0.3,0.1,0.9,-15.8,-1.5,1.3,-0.8,2.9,7.2,0.0,9.0,1.3,3.4,-0.9,-1.9,-9.8,-4.6,1.5,1.6,-2.7,1.8,-0.1,-0.1,7.4,-1.2,3.3,-5.6,0.7,5.1,2.3,-0.9,10.9,2.9,2.8,3.4,4.3,1.6,-0.8,2.3,0.7,2.9,-1.7,-0.8,5.9,1.4,0.1,2.7,3.4,-2.3,0.7,1.0,-0.9,10.0,1.5,1.5,3.6,1.8,2.7,3.4,2.1,-0.6,3.0,3.0,2.2,3.5,-4.7,1.0,0.2,14.8,-2.2,4.0,1.8,1.7,-0.8,-1.3,-0.5
2019-03-01,1.5,1.2,-8.3,4.1,-4.0,4.1,1.8,-1.6,4.2,1.5,0.9,1.8,1.1,-15.0,-0.5,1.4,-1.7,3.0,3.4,0.1,-3.7,1.4,4.0,-0.6,-0.7,-8.9,-1.6,5.5,2.1,-0.4,4.6,5.8,-0.2,-2.9,-2.5,3.3,-3.6,1.1,3.0,2.3,0.0,14.7,2.5,3.3,2.8,4.0,1.1,-0.3,0.6,-0.7,2.0,1.0,-0.9,3.8,2.2,-0.8,0.4,1.6,-3.2,2.6,0.1,-0.2,10.1,3.9,-0.3,3.6,1.6,2.3,4.0,0.7,-0.3,1.9,2.6,2.8,3.2,-5.0,1.5,0.2,13.6,-1.6,3.1,5.1,0.8,-0.8,-0.6,2.0
2019-06-01,0.9,1.3,-7.5,1.3,-0.8,6.3,2.0,-1.8,5.3,1.6,1.1,1.6,0.8,-13.1,1.3,1.9,0.1,2.9,2.5,0.6,-2.0,2.9,0.9,-0.5,-0.4,-1.0,-2.5,5.2,3.3,-1.3,-0.1,5.3,1.2,-0.4,-4.2,2.0,-0.8,1.6,2.5,3.6,1.7,13.9,2.3,3.7,4.7,3.4,2.6,3.8,-2.0,0.7,1.4,1.4,-0.5,2.6,2.3,-0.3,2.3,1.7,-0.7,5.9,0.4,0.8,4.6,3.5,0.1,3.6,1.7,1.7,4.0,-1.5,0.3,1.8,1.6,3.5,1.0,-4.7,1.5,0.2,13.0,1.2,3.1,6.7,0.6,-0.8,-0.7,0.0
2019-09-01,2.1,1.7,-5.5,-0.9,-4.0,6.9,2.3,0.3,4.2,6.1,3.4,2.2,3.3,11.2,2.0,1.5,-0.5,3.5,-0.4,3.9,-5.3,2.5,1.3,0.2,4.3,4.0,1.0,-0.3,4.7,-1.5,0.2,4.8,3.1,2.2,-4.4,2.2,-0.1,3.0,1.1,5.8,0.5,14.3,2.7,3.5,3.1,3.5,6.4,1.6,-1.5,3.1,0.8,1.8,0.1,-0.6,4.0,0.5,2.5,1.7,-0.9,7.2,1.6,3.3,0.9,4.8,3.1,2.2,1.7,2.0,4.0,3.3,0.0,5.2,1.9,2.9,1.5,-4.3,1.5,0.2,14.8,2.6,3.4,2.7,2.7,2.2,0.2,-0.7
2019-12-01,4.9,2.0,-4.0,1.8,2.7,8.7,1.7,1.6,3.6,2.4,4.5,2.8,5.4,11.5,1.0,1.9,-1.6,3.0,1.8,4.5,-6.2,2.0,1.2,0.4,4.9,3.7,2.0,2.4,0.4,-2.3,-1.4,2.8,0.6,2.0,-5.7,1.8,-1.3,2.4,1.2,3.1,0.6,6.2,4.4,3.3,-0.8,3.5,6.2,3.1,-0.3,2.5,-0.7,2.7,1.0,-0.2,7.3,0.8,1.9,2.0,-1.2,6.1,3.1,7.9,-1.9,2.5,3.2,2.2,1.7,1.6,4.0,0.4,1.2,-2.8,2.1,2.6,3.2,-3.9,1.5,0.0,13.7,2.9,3.5,4.3,3.3,2.2,-0.7,0.2
2020-03-01,2.7,2.7,-4.2,1.9,6.1,8.9,2.3,-0.6,2.5,5.3,4.1,2.9,6.7,9.0,3.5,0.9,1.0,2.8,2.1,5.2,0.0,2.6,1.9,1.3,5.8,5.4,2.4,2.1,-1.1,-2.8,1.1,-0.6,1.2,0.6,-0.8,1.4,4.4,2.7,2.0,2.3,2.5,5.1,5.7,2.6,2.9,3.4,8.0,0.1,1.4,3.1,1.6,6.3,4.3,0.2,9.3,4.8,-0.7,2.3,1.5,6.3,3.1,8.0,-0.6,0.7,4.6,2.2,1.5,2.8,3.7,1.3,2.9,2.3,3.8,2.9,3.9,-3.6,1.5,0.0,16.6,2.9,1.9,6.2,3.7,2.2,0.0,-0.1
2020-06-01,1.6,0.3,-1.9,1.6,-22.4,6.6,2.1,2.9,1.2,8.3,5.0,3.5,7.5,-94.7,9.8,0.6,4.6,2.8,5.5,6.4,1.1,2.8,6.3,3.5,-0.7,-1.4,0.1,5.2,0.8,-2.9,-0.2,-1.2,-1.3,-0.9,-2.2,1.5,0.3,2.7,3.0,-1.9,4.6,4.4,5.0,2.4,2.1,0.6,6.4,-1.4,1.5,2.8,3.7,11.5,9.2,2.4,10.2,8.3,-3.9,-2.8,3.3,3.7,2.9,8.9,-1.9,0.1,-15.4,2.2,0.1,3.1,3.7,1.7,3.2,2.1,3.2,0.8,5.2,-3.7,1.5,0.4,17.1,2.4,0.1,6.1,3.5,2.2,1.5,0.7
2020-09-01,-0.9,0.7,-0.2,0.4,-12.2,7.7,0.5,0.8,0.4,0.0,0.8,5.0,5.0,-66.7,4.9,0.6,2.9,1.5,7.7,3.7,4.6,0.7,4.4,2.0,-7.3,-1.3,-3.0,8.8,4.5,0.8,-1.2,-2.3,-1.5,-2.7,2.9,0.9,4.7,1.5,2.9,-6.2,5.0,3.6,4.6,2.2,6.8,1.0,3.0,1.6,2.4,1.5,1.6,7.9,4.6,5.0,10.5,4.4,-4.0,-5.3,0.5,2.1,0.8,7.7,-2.6,0.5,-12.0,1.4,-0.7,0.3,3.7,3.0,2.9,0.7,2.7,0.5,2.4,-3.2,1.4,0.5,16.9,2.4,0.6,9.0,2.2,-0.8,1.8,3.4
2020-12-01,-3.1,1.3,0.0,-1.1,-15.2,7.7,0.5,-1.7,1.2,1.3,-0.9,4.9,2.0,1.5,4.2,2.4,1.9,0.8,1.5,1.7,4.9,2.1,3.9,1.5,1.0,4.6,4.0,4.7,4.4,2.9,0.4,-1.0,-4.8,-2.7,3.9,0.2,6.2,1.3,2.5,-2.2,4.6,0.8,2.3,2.1,8.8,3.8,1.6,3.8,1.7,0.9,0.7,5.8,3.3,4.8,5.0,1.7,-2.3,-1.4,-0.2,2.0,-1.3,2.3,-0.9,-0.4,-2.7,1.4,-1.0,1.9,3.7,6.7,1.9,4.3,1.4,5.0,2.2,-2.7,1.4,0.6,19.6,3.0,0.1,1.0,1.8,-0.8,2.0,2.1
2021-03-01,5.1,0.8,0.0,0.7,-2.8,8.2,0.6,1.0,0.2,-2.8,0.5,-0.8,-0.1,0.8,0.9,2.9,-0.7,1.6,1.4,0.9,-10.1,1.0,1.6,0.2,-2.6,1.1,2.3,0.2,3.1,1.3,-0.9,-1.9,-4.9,-0.8,1.1,1.0,1.0,-0.4,3.3,0.8,1.5,1.6,1.1,2.1,6.1,4.0,0.7,5.0,1.7,1.8,0.7,-1.7,0.1,4.4,2.4,-1.0,3.0,-2.4,-2.1,0.8,-0.4,1.3,-1.3,-0.5,-5.9,1.4,-1.4,1.4,1.3,5.0,-0.2,-1.1,0.8,3.1,0.8,-1.9,-2.0,0.6,17.1,3.3,-1.4,-7.3,1.7,-0.8,1.3,3.2
2021-06-01,4.1,2.9,-2.2,2.7,27.9,14.2,0.6,-1.7,0.4,-4.9,-0.3,0.8,-1.1,1914.3,-4.6,3.6,-3.2,1.6,0.5,-1.6,-12.0,1.2,-3.2,-1.2,1.2,4.8,6.4,5.4,4.9,0.9,2.6,1.9,-4.2,0.3,4.6,1.9,3.6,-0.7,2.4,11.8,-0.1,2.2,0.7,2.1,3.8,6.4,0.0,8.0,-0.7,2.1,-0.7,-6.4,-3.5,3.7,2.1,-5.1,1.6,2.6,-4.3,-0.5,-1.1,-0.4,2.4,0.4,15.9,1.4,-0.8,1.7,1.3,6.3,-1.0,-0.2,0.7,3.8,0.5,-1.3,-2.0,-0.4,14.4,2.4,0.4,-0.2,4.9,-0.8,0.1,3.2
2021-09-01,6.8,2.9,-2.1,2.6,23.7,10.6,1.6,-1.0,0.9,0.1,1.0,-1.3,-0.7,218.7,0.1,5.7,-1.4,1.5,0.3,-0.4,-11.2,-0.5,-0.7,1.1,6.4,-3.5,2.2,-3.0,1.4,1.8,-4.5,-4.7,-10.5,-0.3,0.2,1.8,1.2,-0.3,2.8,2.3,-0.5,0.5,1.3,3.1,-3.1,6.7,0.4,9.0,2.3,3.6,4.0,-1.5,1.3,5.0,0.5,-0.4,1.5,4.9,-0.8,0.4,-0.4,-0.3,4.0,-1.0,11.2,3.4,-0.7,5.4,1.3,-2.4,-0.4,0.4,1.3,3.5,3.5,-1.3,-1.8,-0.1,9.7,2.5,0.4,-0.1,5.5,-3.0,0.5,-0.2
2021-12-01,7.5,2.5,0.4,3.0,29.2,7.1,1.6,-0.5,0.7,-0.4,2.3,-0.4,1.7,3.3,1.6,5.0,1.3,1.4,0.9,0.0,-9.3,0.4,0.0,2.3,1.0,-3.1,-1.1,-6.6,2.4,-1.0,-3.1,-7.4,-1.3,4.0,-0.6,4.3,0.7,2.1,3.5,16.8,0.4,3.0,2.7,6.8,-2.1,3.8,1.4,6.3,4.7,3.8,5.7,1.3,2.1,5.4,2.4,5.6,0.7,0.6,2.0,0.8,2.0,1.1,4.6,-0.3,0.4,3.4,-1.1,3.8,1.3,-1.3,1.0,0.9,3.6,-0.4,2.1,-0.8,-1.8,0.0,1.1,3.7,0.3,6.1,5.8,-3.0,2.6,1.8
2022-03-01,-0.7,4.5,2.4,2.3,33.5,11.2,0.7,0.4,2.7,2.6,1.7,6.1,2.9,2.8,4.9,8.7,7.2,1.5,5.4,1.2,-3.3,2.3,2.3,4.7,4.2,1.2,-2.3,0.3,5.3,1.2,-1.4,-6.9,-0.1,12.5,0.5,4.1,3.3,4.2,4.6,-8.2,2.1,7.0,4.8,7.2,0.6,3.9,4.3,8.2,9.0,3.0,8.5,7.1,4.6,7.4,7.0,11.4,0.1,1.5,2.9,6.4,1.2,3.7,7.4,3.0,9.4,3.4,-0.9,3.8,2.8,2.2,2.8,2.0,2.5,0.1,3.5,-1.1,7.1,-1.2,2.8,3.7,2.1,13.1,8.2,-3.0,6.5,0.3
